Alabama,32.7396323,-86.8434593
Alaska,63.346191,-152.8370679
Arizona,34.2099643,-111.602401
Arkansas,34.8955256,-92.4446262
California,37.148573,-119.5406515
Colorado,38.9935752,-105.5077737
Connecticut,41.5797842,-72.7466666
Delaware,38.9935501,-75.4473739
District of Columbia,38.9041485,-77.0170942
Florida,28.4574302,-82.4091478
Georgia,32.629384,-83.4232125
Hawaii,19.809767,-155.5061027
Idaho,44.3020948,-114.5956254
Illinois,40.1028754,-89.1526108
Indiana,39.9030256,-86.2839503
Iowa,42.0700243,-93.4933473
Kansas,38.4985464,-98.3834298
Kentucky,37.5336807,-85.2929841
Louisiana,30.8577705,-91.803273
Maine,45.3906022,-68.6574869
Maryland,38.9466584,-76.6744939
Massachusetts,42.1565196,-71.4895915
Michigan,44.8410835,-85.6593197
Minnesota,46.3161343,-94.1994801
Mississippi,32.6864655,-89.6561493
Missouri,38.35075,-92.4567826
Montana,47.0511771,-109.6348174
Nebraska,41.5438105,-99.8123253
Nevada,39.3310928,-116.6151469
New Hampshire,43.6708595,-71.5811278
New Jersey,40.1072744,-74.6652012
New Mexico,34.4391265,-106.1261511
New York,42.9133974,-75.5962723
North Carolina,35.53971,-79.1308636
North Dakota,47.4569538,-100.4619304
Ohio,40.4149297,-82.7119975
Oklahoma,35.5894185,-97.4868683
Oregon,43.9715225,-120.6226269
Pennsylvania,40.9042486,-77.8280624
Rhode Island,41.5978358,-71.5252895
South Carolina,33.8741769,-80.8542699
South Dakota,44.4467957,-100.2381762
Tennessee,35.8585639,-86.3493573
Texas,31.4347032,-99.2818238
Utah,39.3349735,-111.6563633
Vermont,44.0605475,-72.673354
Virginia,37.5222512,-78.6681938
Washington,47.4162296,-120.5996231
West Virginia,38.6472854,-80.6183274
Wisconsin,44.628484,-89.7119299
Wyoming,42.9918024,-107.5419255
